,SMILES,Genotoxicity(0.5기준)
189,O.O.[Cl-].[Cl-].[Ba++],0
190,COC(=O)C=CC1=CC=CC=C1,0
191,CC(C)C(=O)OCC1=CC=CC=C1,0
192,O.[Na+].[O-]OB=O,1
193,[H][C@@]12CC[C@H](C(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2NC(=O)CC[C@]12C,0
194,C1CN(CCO1)SSN1CCOCC1,0
195,CCOC(=O)C=CC1=CC=CC=C1,0
196,CCCC(=O)OCC1=CC=CC=C1,1
197,CC(C)CC(=O)OCC1=CC=CC=C1,0
198,CC\C(C)=C\CCC(C)(O)C=C,0
199,O=C(OCC1=CC=CC=C1)C=CC1=CC=CC=C1,0
200,CC(=O)OCCC1=CC=CC=C1,0
201,OS(=O)(=O)CCNC1CCCCC1,0
202,CC(C)C(=O)OCCC1=CC=CC=C1,0
203,C(NCC1=CC=CC=C1)C1=CC=CC=C1,0
204,C(OCC1=CC=CC=C1)C1=CC=CC=C1,0
205,CCCC(=O)OCCC1=CC=CC=C1,0
206,O=C(OCCC1=CC=CC=C1)C=CC1=CC=CC=C1,0
207,CC(=O)OCC=CC1=CC=CC=C1,0
208,CCC(=O)OCC=CC1=CC=CC=C1,0
209,CC(C)(C)CC(C)(C)C1=CC(CC2=C(O)C(=CC(=C2)C(C)(C)CC(C)(C)C)N2N=C3C=CC=CC3=N2)=C(O)C(=C1)N1N=C2C=CC=CC2=N1,0
210,CC(C)C(=O)OCCOC1=CC=CC=C1,0
211,[Cl-].[Cl-].[Ba++],0
212,CCCC(=O)OCC=CC1=CC=CC=C1,0
213,[Cl-].[Cl-].[Cl-].[Pr+3],0
214,[Pr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
215,Cl[Sm](Cl)Cl,0
216,[Cl-].[Cl-].[Cl-].[Y+3],0
217,[Y+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
218,BrC=CC1=CC=CC=C1,0
219,CC1=CC(CC(C)(C)CO)=CC=C1,0
220,CCNC1=CC=CC=C1,0
221,O=C=NC1=CC=CC=C1,0
222,OCCN1CCNCC1,0
223,[Li+].[Li+].[Li+].[O-]P([O-])([O-])=O,0
224,[Mg++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
